2056,24,326,110,483
1114,23,238,140,434
1547,21,132,120,190
1241,21,192,150,250
4343,20,236,120,355
2013,17,138,150,160
4476,16,118,110,182
3541,16,74,60,154
4718,14,112,100,139
3387,14,86,130,173
2809,14,138,150,266
4001,13,250,110,188
4727,12,144,70,122
1325,12,58,80,125
2185,11,84,120,46
1075,11,42,90,84
4808,10,50,30,127
3530,10,72,70,110
2994,10,180,130,170
2852,10,138,80,199
865,10,96,90,83
216,10,122,130,168
288,9,126,80,153
4252,8,114,60,226
4015,8,98,60,219
3550,8,86,40,128
3543,8,82,80,170
3386,8,130,100,136
781,8,108,120,118
244,8,132,60,72
3985,7,140,130,60
4685,6,54,20,110
3988,6,88,40,60
4807,5,78,50,54
