3015,18,138,90,231
3173,16,58,40,248
4203,14,114,100,98
3687,14,48,150,80
3003,14,114,90,139
1507,14,126,60,161
250,14,150,150,114
191,14,126,60,257
48,14,90,110,160
340,12,78,190,77
4508,10,58,130,36
4071,10,56,90,54
3838,10,164,80,133
3799,10,74,80,83
3181,10,102,50,165
2809,10,72,70,198
1585,10,80,40,76
1551,10,84,100,148
1450,10,148,80,141
1405,10,104,110,124
1111,10,52,90,66
772,10,54,40,85
578,10,72,30,93
378,10,104,110,107
145,10,180,140,129
4505,8,52,80,27
2265,8,44,50,88
2228,8,102,60,117
1765,8,80,60,111
1591,8,74,50,38
1559,8,98,50,115
1155,8,84,70,107
1126,8,18,80,111
639,8,70,90,148
451,8,60,50,79
176,8,74,100,212
4093,6,84,80,89
3951,6,96,80,71
3842,6,76,140,87
3157,6,52,80,82
2340,6,60,80,77
1511,6,78,60,124
888,6,66,90,92
174,6,60,40,100
156,6,68,70,44
4023,4,30,10,88
1518,2,78,90,8
907,2,32,60,41
73,2,42,80,59
